IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.13.66,4,4,0.00,141.12,1.41,SIN
162.159.34.2,4,4,0.00,108.00,1.40,SIN
162.159.27.115,4,4,0.00,122.48,1.39,SIN
162.159.39.29,4,4,0.00,102.94,1.36,NRT
104.20.31.194,4,4,0.00,150.58,1.36,FRA
108.162.192.175,4,4,0.00,110.80,1.31,SIN
172.64.152.250,4,4,0.00,138.13,1.24,SIN
162.159.19.181,4,4,0.00,110.35,1.23,SIN
172.64.147.146,4,4,0.00,113.71,1.19,SIN
104.27.14.25,4,4,0.00,150.91,1.18,FRA
